projectDescriptionID,trapVisitID,visitTime,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity
10,3,2022-01-21T12:45:07Z,Lower Sacramento River RST,RR,Start trap & begin trapping,N/A; not a sampling visit,Trap functioning normally,NA,NA,0.7,Yes,NA,NA,NA,NA
10,4,2022-01-21T12:45:57Z,Lower Sacramento River RST,RL,Start trap & begin trapping,N/A; not a sampling visit,Trap functioning normally,NA,NA,0.9,Yes,NA,NA,NA,NA
10,5,2022-01-22T13:00:49Z,Lower Sacramento River RST,RR,Continue trapping,Processed fish,"Trap functioning, but not normally",0,0.8,0.7,Yes,10121,0.5,9.2,10.5
10,6,2022-01-22T13:15:22Z,Lower Sacramento River RST,RL,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,0.8,Yes,NA,NA,NA,NA
10,7,2022-01-23T11:30:48Z,Lower Sacramento River RST,RR,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,0,Yes,9822,0.6,9.6,5.56
10,8,2022-01-23T12:00:08Z,Lower Sacramento River RST,RL,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,0,Yes,NA,NA,NA,NA
10,10,2022-01-24T12:15:34Z,Lower Sacramento River RST,RL,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.3,Yes,NA,NA,NA,NA
10,9,2022-01-24T12:45:17Z,Lower Sacramento River RST,RR,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3,Yes,9717,0.6,12.6,NA
10,12,2022-01-25T10:45:25Z,Lower Sacramento River RST,RL,Continue trapping,Processed fish,Trap functioning normally,4567,3.4,3.5,Yes,NA,NA,NA,NA
10,11,2022-01-25T12:00:46Z,Lower Sacramento River RST,RR,Continue trapping,Processed fish,Trap functioning normally,3558,2.6,2.9,Yes,9473,0.7,12.1,NA
10,13,2022-01-26T10:30:41Z,Lower Sacramento River RST,RR,Continue trapping,Processed fish,Trap functioning normally,3598,2.7,2.9,Yes,9283,0.9,9.4,7.18
10,14,2022-01-26T10:45:03Z,Lower Sacramento River RST,RL,Continue trapping,Processed fish,Trap functioning normally,4670,3.3,3.4,Yes,NA,NA,NA,NA
10,15,2022-01-27T10:00:32Z,Lower Sacramento River RST,RR,Continue trapping,Processed fish,Trap functioning normally,3610,2.5,2.6,Yes,9111,0.7,8.7,NA
10,16,2022-01-27T10:15:56Z,Lower Sacramento River RST,RL,Continue trapping,Processed fish,Trap functioning normally,4480,3.2,3.4,Yes,NA,NA,NA,NA
10,17,2022-01-28T10:00:28Z,Lower Sacramento River RST,RR,Continue trapping,Processed fish,Trap functioning normally,3589,2.5,2.6,Yes,9179,0.6,9.2,6.1
10,18,2022-01-28T10:30:35Z,Lower Sacramento River RST,RL,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.4,Yes,NA,NA,NA,NA
10,19,2022-01-29T10:00:43Z,Lower Sacramento River RST,RR,Continue trapping,Processed fish,Trap functioning normally,3498,2.6,2.6,Yes,9076,0.7,8.8,9.8
10,20,2022-01-29T10:15:25Z,Lower Sacramento River RST,RL,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.5,Yes,NA,NA,NA,NA
10,21,2022-01-30T10:00:14Z,Lower Sacramento River RST,RR,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.1,Yes,9386,0.3,8.9,NA
10,22,2022-01-30T10:15:24Z,Lower Sacramento River RST,RL,Continue trapping,Processed fish,Trap functioning normally,4577,3.2,3.3,Yes,NA,NA,NA,NA
10,24,2022-01-31T10:45:06Z,Lower Sacramento River RST,RR,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.3,Yes,10477,0.9,9.2,10.38
10,23,2022-01-31T11:00:33Z,Lower Sacramento River RST,RL,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.9,Yes,NA,NA,NA,NA
10,25,2022-02-01T11:00:39Z,Lower Sacramento River RST,RR,Continue trapping,Processed fish,Trap functioning normally,4736,3.6,3.5,Yes,10944,NA,8.3,13.3
10,26,2022-02-01T11:15:24Z,Lower Sacramento River RST,RL,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.9,Yes,NA,NA,NA,NA
10,27,2022-02-02T11:00:12Z,Lower Sacramento River RST,RR,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,3.8,Yes,10980,NA,8.6,13.19
10,28,2022-02-02T11:30:38Z,Lower Sacramento River RST,RL,Continue trapping,Processed fish,Trap functioning normally,5563,3.8,3.7,Yes,NA,NA,NA,NA
